id,name,category,identity_verified,website_verified,fees_verified,placements_verified,seats_verified,cutoffs_verified,rankings_verified,primary_source_fees,primary_source_placements,primary_source_seats,fees_status,placements_status,seats_status
"C-66231","SHREE HARI DIPLOMA IN HEALTH AND SANITARY INSPECTOR COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66233","MAHISAGAR COLLEGE FOR SANITARY INSPECTOR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66241","V S RAVAL DIPLOMA IN HEALTH AND SANITARY PRANTIJ","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66243","SANJIVANI DIPLOMA IN HEALTH SANITARY INSPECTOR COLLEGE","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66245","DIPLOMA IN HEALTH AND SANITARY INSPECTOR COLLEGE PANTHAWADA","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66252","SHREE M H PARMAR DIPLOMA IN HEALTH AND SANITARY INSPECTORY COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66255","SHRI K R KATARA DIPLOMA IN HEALTH AND SANITARY INSPECTOR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66259","ARVALLI DIPLOMA IN HEALTH AND SANITARY INSPECTOR COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66260","ADARSH DIPLOMA IN HEALTH AND SANITARY INSPECTOR COLLEGE PATAN","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66261","SHREE AMARDEEP DIPLOMA IN HEALTH AND SANITARY INSPECTOR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66335","PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-64135","RUSTAMJI INSTITUTE OF TECHNOLOGY DIPLOMA","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-6415","Lady Shri Ram College for Women","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-6417","Kamala Nehru College","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64225","TRINITY INSTITUTE OF INNOVATIONS IN PROFESSIONAL STUDIES","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-6425","Hans Raj College","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-63926","SHIVPURI INSTITUTE OF TECHNOLOGY","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-6426","Shaheed Rajguru College of Applied Sciences for Women","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-6429","Gargi College","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64304","BHAGWAN MAHAVIR COLLEGE OF LIBREAL ARTS HUMANITIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-63933","SILVER OAK COLLEGE OF  HUMANITIES AND SOCIAL SCIENCE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-63940","RAIGARH INSTITUTE OF TECHNOLOGY AND SCIENCE","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","NIRF 2024","None","official_verified","legacy","unavailable"
"C-64395","INDRA INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Madhya Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64396","BHOPAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT MBA","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-64418","DEVALAMAHARSHI TRINITY FIRST GRADE COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64454","UNITEDWORLD INSTITUTE OF DESIGN","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64485","GANESH INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64529","TRINITY COLLEGE CHHOTI SARWAN","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Rajasthan (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64579","IQ CITY UNITED WORLD SCHOOL OF BUSINESS","Legacy Core","true","true","","","","","true","Fee Regulation Slab — West Bengal (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64728","ALLENHOUSE INSTITUTE OF MANAGEMENT","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Uttar Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-63980","COLLEGE OF COMMUNITY AND APPLIED SCIENCES","Legacy Core","true","","","","","","true","Fee Regulation Slab — Rajasthan (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64797","UNITY COLLEGE OF ALLIED HEALTH SCIENCES","Legacy Core","true","true","true","","","","true","KEA UGCET 2024 Notification","None","None","official_verified","unavailable","unavailable"
"C-64861","NITYANANDA COLLEGE OF PHARMACY","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64867","ODISHA INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64868","MAYURBHANJ INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-64884","INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","true","","","","true","MahaFRA Official Online Portal","None","None","official_verified","unavailable","unavailable"
"C-67452","CIIT COLLEGE","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-67514","MILITARY INSTITUTE OF TECHNOLOGY","Legacy Core","true","","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-67521","VIJATA VITTALA INSTITUTE OF MANAGEMENT AND SCIENCE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66459","ABHIRAM INSTITUTE OF MANAGEMENT AND SCIENCE","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-67619","UNITY COLLEGE OF NURSING","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Uttarakhand (2024-25)","None","None","legacy","unavailable","unavailable"
"C-67681","METROUNITED NURSING COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"C-67742","UNITED COLLEGE OF PHYSIOTHERAPY","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Tamil Nadu (2024-25)","None","None","legacy","unavailable","unavailable"
"C-67865","SHRI PRABODHKANT PANDYA SANITARY INSPECTOR COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-67881","ORSANG SANITARY INSPECTOR COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-67953","AASHUTOSH INSTITUTE OF MANAGEMENT SCIENCE AND RESEARCH","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Uttar Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68006","FACULTY OF ARTS AND HUMANITIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
