id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,has_provenance,truth_density_score,recommendation,reason,blocker_or_review_flag
"CORE-INDIAN-INSTITUTE-OF-HANDLOOM-TECHNOLOGY-SALEM","INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM","OTHER","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-TECHNOLOGY","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHAGALPUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-SURAT","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-GUWAHATI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-KURNOOL","Indian Institute of Information Technology Design And Manufacturing, Kurnool","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-ALLAHABAD","Indian Institute of Information Technology, Allahabad","IIIT","","","true","true","","50","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-DESIGN-MANUFACTURING-KANCHEEPURAM","Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-DHARWAD","Indian Institute of Information Technology, Dharwad","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-LUCKNOW","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-SENAPATI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-CITY","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRI CITY","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIIT-SRIRANGAM","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-UNA","Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-VADODARA","Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-IIT-BHUBANESHWAR","Indian Institute of Technology, Bhubaneshwar","IIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-IITRAM","INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM)","OTHER","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY","OTHER","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESHWAR","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESHWAR","OTHER","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-MAULANA-AZAD-NATIONAL-INSTITUTE-OF-TECHNOLOGY-BHOPAL","Maulana Azad National Institute of Technology, Bhopal","NIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-MOTILAL-NEHRU-NATIONAL-INSTITUTE-OF-TECHNOLOGY-ALLAHABAD","Motilal Nehru National Institute of Technology, Allahabad","NIT","","","true","true","","50","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-PUNJAB-ENGINEERING-COLLEGE-CHANDIGARH","Punjab Engineering College , Chandigarh","GFTI","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-SARDAR-VALLABHBHAI-NATIONAL-INSTITUTE-OF-TECHNOLOGY-SURAT","Sardar Vallabhbhai National Institute of Technology, Surat","NIT","","","true","true","","50","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-VISVESVARAYA-NATIONAL-INSTITUTE-OF-TECHNOLOGY-NAGPUR","Visvesvaraya National Institute of Technology, Nagpur","NIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
