cei_id,institution_name,category,state,district,university_affiliation,aishe_code,F_zscore,I_zscore,S_zscore,D_zscore,U_zscore,raw_composite,cei_score,competitiveness_band,verification_status
CEI-IN-0B2E7462A83D,"PEOPLE'S INSTITUTE OF MEDIA STUDIES, BHOPAL",College,Madhya Pradesh,Bhopal,,C-31107,-0.22352642229098516,-0.7511905981714118,-0.32635090157360785,-0.2592801250909446,-1.4912401271668847,-1.5451940235327504,18.236014055035728,Emerging,VERIFIED
CEI-IN-04615C1B4711,SRUSHTI COMPUTER EDUCATION MULTAI,College,Madhya Pradesh,Betul,,C-31116,-0.22352642229098516,-1.8846232143721664,-2.3417304363483513,0.7729090644358223,-0.877064456447012,-8.36291456469567,1.067945832839828,Emerging,VERIFIED
CEI-IN-A1D6E5620CBC,LAL BAHADUR SHASTRI INSTITUTE OF COMPUTER SCIENCE & TECHNOLOGY DHANPURI,College,Madhya Pradesh,Shahdol,,C-31118,-0.22352642229098516,0.5888261340964658,1.2045486570971926,0.34459639455484414,1.1846784445006997,9.229454702114365,84.94413518101781,Competitive,VERIFIED
CEI-IN-FDA3B37979D9,SUPERIOR INSTITUTE OF COMPUTER TECHNOLOGY LAHAR,College,Madhya Pradesh,Bhind,,C-31158,-0.22352642229098516,-0.5067511940353505,-0.003817445398060948,-0.41449792942934743,1.716804620019816,2.2187881344621827,43.09684551304828,Moderate,VERIFIED
CEI-IN-A9A4E072AE68,"SCHOOL OF BROADCASTING & COMMUNICATION, MUMBAI",College,Maharashtra,Mumbai,,C-31168,0.04470528445819717,-0.7639416108386187,-0.6146371748905317,-0.5719992658133075,-1.645033713796871,-1.931789233240607,16.250148051640412,Emerging,VERIFIED
CEI-IN-E98B9E302E87,JAI NARSINGH COMPUTER INSTITUTE KARELI,College,Madhya Pradesh,Narsimhapur,,C-31211,-0.1162337395913122,0.35879605820688476,0.36943950723890456,0.025340844950117007,-0.15147527008987344,5.272217661021193,65.11508547514705,Competitive,VERIFIED
CEI-IN-B09A19CB9938,SURYA ACADEMY BHOPAL,College,Madhya Pradesh,Bhopal,,C-31323,0.2592906498575428,0.17721646727762577,0.39088127623024765,0.03868942425448936,1.0820419645334458,7.107654913193701,75.9070630502586,Competitive,VERIFIED
CEI-IN-F19477779F10,COMPUTER POINT BHOPAL,College,Madhya Pradesh,Bhopal,,C-31327,-0.22352642229098516,-0.7395331996024167,-0.5850265000479641,-0.6407581776274864,0.5959761504537413,-1.1599777162007379,20.225828102175374,Emerging,VERIFIED
CEI-IN-D84958ABF317,SIDDHARTH INSTITUTE OF INFORMATION TECHNOLOGY DHANPURI,College,Madhya Pradesh,Shahdol,,C-31354,-0.16988008094114876,-0.4332890265220012,-0.23713084220057198,-0.9210087664334882,-1.5410681778212543,-1.1358582589685329,20.354139523865925,Emerging,VERIFIED
CEI-IN-7403F8064BB7,"TATA INSTITUTE OF TECHNOLOGY, SIDHI",College,Madhya Pradesh,Sidhi,,C-31427,0.09835162580803358,-0.5717695083720056,-0.9393533413435889,0.2804065057386913,0.003571774040375553,0.31949634569852975,29.40700382960243,Moderate,VERIFIED
CEI-IN-95599B1F6805,"Sri Sai College of Nursing, Nalgonda",College,Telangana,Nalgonda,,C-30657,-0.008941056891639378,0.5244601567198094,0.5918755909532718,0.20650545251135285,-1.312171851100061,6.10524120998067,70.48442496742864,Competitive,VERIFIED
CEI-IN-B9F123E890F1,"Durgabhai Deshmukh College of B.Sc Nursing, Hyderabad",College,Telangana,Hyderabad,,C-30700,-0.06258739824147593,-0.4927867303038019,-1.1797455066545603,-0.3439817362231822,1.3672605442345165,-0.5039996187278706,24.04753444668167,Emerging,VERIFIED
CEI-IN-9FBA7640BD2F,"Ayujyoti Ayurvedic College , Jodhpuria, Sirsa",College,Haryana,Sirsa,,C-30701,-0.3844654463404946,0.6081202939674104,0.9336062808620412,-0.737043521296044,0.3640149437154917,5.897806643345809,69.18946661929014,Competitive,VERIFIED
CEI-IN-49E2CDBA93A7,"Manav Institute of Pharmacy Vill Javra Bahbalpur, Teh Barwala , Hisar",College,Haryana,Hisar,,C-30708,-0.22352642229098516,-0.20446327565438405,0.15669644561644855,-1.091147271030691,-1.1070853805352066,0.48230209600903184,30.577598799794703,Moderate,VERIFIED
CEI-IN-B62556486704,"Prem Physiotherapy & Rehabilitation College, Panipat",College,Haryana,Panipat,,C-30713,-0.1162337395913122,0.8274192639835976,2.2454569297737796,-0.8363576329507644,1.322500401775553,11.615229647061867,91.31627778435785,High,VERIFIED
CEI-IN-CE4677C33446,"COLLEGE OF PHYSIOTHERAPY, PGIMS, ROHTAK",College,Haryana,Rohtak,,C-30737,-0.33081910499065814,1.2008803657208873,1.6884655870660812,0.11094591572241629,1.5208367965367997,11.83082193304444,91.78412096806032,High,VERIFIED
CEI-IN-0F7341A10841,"Janta College of Pharmacy, Butana, Sonipat",College,Haryana,Sonipat,,C-30738,1.439510159553945,0.5401083224296168,0.3222984032911929,0.61655889369732,-0.3030598552573592,11.946810597253195,92.00915946148683,High,VERIFIED
CEI-IN-70A72903B56A,"C.D.L. College of Ayurveda Bhagwangarh, Buria Road, Jagadhari",College,Haryana,Yamunanagar,,C-30757,0.04470528445819717,1.555301000946547,2.5399474942310762,0.27857225948050074,-0.7766558365729235,14.99498578404006,95.93943700896206,High,VERIFIED
CEI-IN-260A4D3A10A2,"Shri Baba Mast Nath College of Physiotherapy, Asthal Bohar, Rtk",College,Haryana,Rohtak,,C-30775,-0.3844654463404946,-0.27352157909537184,-0.6460924006701594,0.8494459144877317,-1.0995504125914033,0.16402758605786472,28.317343756168817,Moderate,VERIFIED
CEI-IN-710F13BBC1AF,Guru Gang Dev ji college of Education,College,Jammu and Kashmir,Kathua,,C-30790,0.09835162580803358,-0.6313961485376225,-0.7749857982600733,0.6105224170781003,-1.0683235829771291,0.23508775009708704,28.81479726795373,Moderate,VERIFIED
CEI-IN-79EFE0C4CE2A,Govt. Gandhi Memorial Science College,College,Jammu and Kashmir,Jammu,,C-30797,5.14110771269266,-0.37639870386369273,-0.17019708551353652,-0.7304159518644423,1.5771077053270688,20.92248857277381,98.46815902720202,Elite,VERIFIED
