id,stableKey,name,state,city,aisheCode,website_present,courses_present,fees_present,fees_verified,rankings_present,placements_present,seats_present,cutoffs_present,source_metadata_present,truth_grade,frontend_fee_visible,frontend_placement_visible,frontend_ranking_visible,num_courses,num_rankings,num_placement_fields,num_fee_fields,num_cutoffs,num_seats
"C-10915","C-10915","T.T.Mahavidyalaya, Ghatagaon","Odisha","","C-10915","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-30696","C-30696","Rainbow College of Nursing, Hyderabad","Telangana","","C-30696","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10916","C-10916","Anchalika M.V. Swampatana","Odisha","","C-10916","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10917","C-10917","K.M Women's College,Keonjhar","Odisha","","C-10917","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10918","C-10918","Kalinga C ollege, Manada","Odisha","","C-10918","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10919","C-10919","M.G. College, Baisinga","Odisha","","C-10919","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10920","C-10920","U.G,C.T.E. College, Baripada","Odisha","","C-10920","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10921","C-10921","Srimaa Mahila M.V. Baripada","Odisha","","C-10921","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10922","C-10922","Jamda Anchalika M.V, Jamda","Odisha","","C-10922","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10923","C-10923","C.S College, Champua","Odisha","","C-10923","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10924","C-10924","Chitrada Coqllege, Chitrada","Odisha","","C-10924","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10925","C-10925","Rimuli College, Rimuli","Odisha","","C-10925","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-30833","C-30833","Xavier Centre of Historical Research","Goa","","C-30833","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10926","C-10926","B.P.S College, Barsahi","Odisha","","C-10926","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10927","C-10927","Mayurbhanj College of Account & Mgt, Baripada","Odisha","","C-10927","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10928","C-10928","Anchalika M.V Purunabaripada","Odisha","","C-10928","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-21472","C-21472","SREE CHAITANYA DEGREE COLLEGE, GOLLAPALLY","Telangana","","C-21472","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
