cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-4DA894A7F603,NEW NAVODAYA INSTITUTE OF NURSING MANDYA,Standalone,Karnataka,Mandya,,2020-21,VERIFIED,S-4174,,2004
CEI-IN-D1340519C101,SRI RAGHAVENDRA INSTITUTE OF PARA MEDICAL SCIENCE SHIMOGA,Standalone,Karnataka,Shivamogga,,2020-21,VERIFIED,S-18802,,-
CEI-IN-6B7B7387390B,NAGESH SCHOOL OF NURSING HASSAN,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-4162,,2004
CEI-IN-893CA65B29E6,SULTAN COLLEGE OF D PHARMACY,Standalone,Karnataka,Bidar,,2020-21,VERIFIED,S-18775,,-
CEI-IN-350D13869A52,SREE SEVALAL INSTITUTE OF PARA MEDICAL SCIENCE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-18715,,-
CEI-IN-1691D83A4890,B T L SCHOOL OF NURSING BANGALORE URBAN,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-3947,,2004
CEI-IN-660FBF333FF1,St Josephs Institute of Management,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-18645,,1996
CEI-IN-2EB085F8B522,BANGALORE INSTITUTE OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-3953,,2003
CEI-IN-1AB2309D0E2B,BHAVAN S PRIYAMVADA BIRLA INSTITUTE OF MANAGEMENT,Standalone,Karnataka,Mysuru,,2020-21,VERIFIED,S-16675,,2011
CEI-IN-00D520966B27,SARANG INSTITUTE OF POLYTECHNIC,Standalone,Karnataka,Tumakuru,,2020-21,VERIFIED,S-16771,,2017
CEI-IN-5C7DD8EACD5C,NOTRE DAME JUNIOR COLLEGE OF EDUCATION,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-16870,,1974
CEI-IN-DD85052B35A9,Aishwarya School of Nursing,Standalone,Karnataka,Mandya,,2020-21,VERIFIED,S-19097,,2019
CEI-IN-9193785AF335,VIDYASAGAR SCHOOL OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4402,,2003
CEI-IN-3569896C2BAD,ANJANI BALDEV COLLEGE OF PHARMACY A B COLLEGE OF PHARMACY,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-18933,,2019
CEI-IN-087559F70644,Helen Keller Government Teachers Training Center for Visually Handicapped Children,Standalone,Karnataka,Mysuru,,2020-21,VERIFIED,S-18929,,-
CEI-IN-D98E64252305,GOVERNMENT VISL S J POLYTECHNIC BHADRAVATHI,Standalone,Karnataka,Shivamogga,,2020-21,VERIFIED,S-1288,,1950
CEI-IN-BE503BCF2927,HINDUSTAN ELECT. ACADEMY POLYTECHNIC BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-1304,,1986
CEI-IN-CAEB88363CA3,K C T POLYTECHNIC GULBARGA,Standalone,Karnataka,Kalaburagi,,2020-21,VERIFIED,S-1322,,1979
CEI-IN-DF1F993D1EB0,KAMMAVARY POLYTECHNIC BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-1336,,1992
CEI-IN-95B43077BE02,KARAVALI POLYTECHNIC MANGALORE,Standalone,Karnataka,Dakshina Kannada,,2020-21,VERIFIED,S-1337,,2009
CEI-IN-99A0F8D3760E,"SRI M.V. INSTITUTE OF NURSING, MANDYA",Standalone,Karnataka,Mandya,,2020-21,VERIFIED,S-14119,,1997
CEI-IN-0C2A23C77906,SGES DR. N MAGDAM POLYTECHNIC ANKALI,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-1424,,2009
CEI-IN-4348359BA027,BALLARI RURAL POLYTECHNIC,Standalone,Karnataka,Ballari,,2020-21,VERIFIED,S-1444,,2009
CEI-IN-8A66C3C40A09,VIDYA VIKAS EDUCATION TRUST POLYTECHNIC MYSORE,Standalone,Karnataka,Mysuru,,2020-21,VERIFIED,S-1467,,1991
CEI-IN-75B914A284B7,PRIN L N WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-153,,2008
CEI-IN-8AC879BDF807,"JASMINE COLLEGE OF PHARMACY, BIDAR",Standalone,Karnataka,Bidar,,2020-21,VERIFIED,S-17648,,2018
CEI-IN-CDF07FE0DC29,ACHUTHA SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-19196,,-
CEI-IN-9BCCD33961B3,TAPOVANA INSTITUTE OF NURSING DAVANAGERE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-4378,,2003
CEI-IN-915E79061CBB,SREE BASAVESHWARA SCHOOL OF NURSING TUMKUR,Standalone,Karnataka,Tumakuru,,2020-21,VERIFIED,S-4311,,2002
CEI-IN-DE2AAB995839,SPURTHY INSTITUTE OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4310,,2003
CEI-IN-C5BAA7FDECE4,SHRI LAXMI VENKATESWARA SCHOOL OF NURSING CHITRADURGA,Standalone,Karnataka,Chitradurga,,2020-21,VERIFIED,S-4290,,1997
