frontend_route_id,catalog_id,canonical_core_id,normalized_name,seat_matrix_id,engineering_cutoffs_id,resolver_output_id,mismatch_type,risk_level,recommended_fix
"CORE-AICTE-1-44639772141","CORE-AICTE-1-44639772141","CORE-AICTE-1-44639772141","AICTE Institution 1-44639772141","MISSING","MISSING","CORE-AICTE-1-44639772141","NONE","SAFE","None"
"CORE-AICTE-1-44639864156","CORE-AICTE-1-44639864156","CORE-AICTE-1-44639864156","AICTE Institution 1-44639864156","MISSING","MISSING","CORE-AICTE-1-44639864156","NONE","SAFE","None"
"CORE-AICTE-1-44639945530","CORE-AICTE-1-44639945530","CORE-AICTE-1-44639945530","AICTE Institution 1-44639945530","MISSING","MISSING","CORE-AICTE-1-44639945530","NONE","SAFE","None"
"CORE-AICTE-1-44640046939","CORE-AICTE-1-44640046939","CORE-AICTE-1-44640046939","AICTE Institution 1-44640046939","MISSING","MISSING","CORE-AICTE-1-44640046939","NONE","SAFE","None"
"CORE-AICTE-1-44640191315","CORE-AICTE-1-44640191315","CORE-AICTE-1-44640191315","AICTE Institution 1-44640191315","MISSING","MISSING","CORE-AICTE-1-44640191315","NONE","SAFE","None"
"CORE-AICTE-1-44640195682","CORE-AICTE-1-44640195682","CORE-AICTE-1-44640195682","AICTE Institution 1-44640195682","MISSING","MISSING","CORE-AICTE-1-44640195682","NONE","SAFE","None"
"CORE-AICTE-1-44640234814","CORE-AICTE-1-44640234814","CORE-AICTE-1-44640234814","AICTE Institution 1-44640234814","MISSING","MISSING","CORE-AICTE-1-44640234814","NONE","SAFE","None"
"CORE-AICTE-1-44640290488","CORE-AICTE-1-44640290488","CORE-AICTE-1-44640290488","AICTE Institution 1-44640290488","MISSING","MISSING","CORE-AICTE-1-44640290488","NONE","SAFE","None"
"CORE-AICTE-1-44640371659","CORE-AICTE-1-44640371659","CORE-AICTE-1-44640371659","AICTE Institution 1-44640371659","MISSING","MISSING","CORE-AICTE-1-44640371659","NONE","SAFE","None"
"CORE-AICTE-1-44640415205","CORE-AICTE-1-44640415205","CORE-AICTE-1-44640415205","AICTE Institution 1-44640415205","MISSING","MISSING","CORE-AICTE-1-44640415205","NONE","SAFE","None"
"CORE-AICTE-1-44640419040","CORE-AICTE-1-44640419040","CORE-AICTE-1-44640419040","AICTE Institution 1-44640419040","MISSING","MISSING","CORE-AICTE-1-44640419040","NONE","SAFE","None"
"CORE-AICTE-1-44640586918","CORE-AICTE-1-44640586918","CORE-AICTE-1-44640586918","AICTE Institution 1-44640586918","MISSING","MISSING","CORE-AICTE-1-44640586918","NONE","SAFE","None"
"CORE-AICTE-1-44640825251","CORE-AICTE-1-44640825251","CORE-AICTE-1-44640825251","AICTE Institution 1-44640825251","MISSING","MISSING","CORE-AICTE-1-44640825251","NONE","SAFE","None"
"CORE-AICTE-1-44640884023","CORE-AICTE-1-44640884023","CORE-AICTE-1-44640884023","AICTE Institution 1-44640884023","MISSING","MISSING","CORE-AICTE-1-44640884023","NONE","SAFE","None"
"CORE-AICTE-1-44640936781","CORE-AICTE-1-44640936781","CORE-AICTE-1-44640936781","AICTE Institution 1-44640936781","MISSING","MISSING","CORE-AICTE-1-44640936781","NONE","SAFE","None"
"CORE-AICTE-1-44641284570","CORE-AICTE-1-44641284570","CORE-AICTE-1-44641284570","AICTE Institution 1-44641284570","MISSING","MISSING","CORE-AICTE-1-44641284570","NONE","SAFE","None"
"CORE-AICTE-1-44641394123","CORE-AICTE-1-44641394123","CORE-AICTE-1-44641394123","AICTE Institution 1-44641394123","MISSING","MISSING","CORE-AICTE-1-44641394123","NONE","SAFE","None"
"CORE-AICTE-1-44641549024","CORE-AICTE-1-44641549024","CORE-AICTE-1-44641549024","AICTE Institution 1-44641549024","MISSING","MISSING","CORE-AICTE-1-44641549024","NONE","SAFE","None"
"CORE-AICTE-1-44641659758","CORE-AICTE-1-44641659758","CORE-AICTE-1-44641659758","AICTE Institution 1-44641659758","MISSING","MISSING","CORE-AICTE-1-44641659758","NONE","SAFE","None"
"CORE-AICTE-1-44641676837","CORE-AICTE-1-44641676837","CORE-AICTE-1-44641676837","AICTE Institution 1-44641676837","MISSING","MISSING","CORE-AICTE-1-44641676837","NONE","SAFE","None"
"CORE-AICTE-1-44641678195","CORE-AICTE-1-44641678195","CORE-AICTE-1-44641678195","AICTE Institution 1-44641678195","MISSING","MISSING","CORE-AICTE-1-44641678195","NONE","SAFE","None"
"CORE-AICTE-1-44641745478","CORE-AICTE-1-44641745478","CORE-AICTE-1-44641745478","AICTE Institution 1-44641745478","MISSING","MISSING","CORE-AICTE-1-44641745478","NONE","SAFE","None"
"CORE-AICTE-1-44641771420","CORE-AICTE-1-44641771420","CORE-AICTE-1-44641771420","AICTE Institution 1-44641771420","MISSING","MISSING","CORE-AICTE-1-44641771420","NONE","SAFE","None"
"CORE-AICTE-1-44641806108","CORE-AICTE-1-44641806108","CORE-AICTE-1-44641806108","AICTE Institution 1-44641806108","MISSING","MISSING","CORE-AICTE-1-44641806108","NONE","SAFE","None"
"CORE-AICTE-1-44641832195","CORE-AICTE-1-44641832195","CORE-AICTE-1-44641832195","AICTE Institution 1-44641832195","MISSING","MISSING","CORE-AICTE-1-44641832195","NONE","SAFE","None"
"CORE-AICTE-1-44641852157","CORE-AICTE-1-44641852157","CORE-AICTE-1-44641852157","AICTE Institution 1-44641852157","MISSING","MISSING","CORE-AICTE-1-44641852157","NONE","SAFE","None"
"CORE-AICTE-1-44641914888","CORE-AICTE-1-44641914888","CORE-AICTE-1-44641914888","AICTE Institution 1-44641914888","MISSING","MISSING","CORE-AICTE-1-44641914888","NONE","SAFE","None"
"CORE-AICTE-1-44641925723","CORE-AICTE-1-44641925723","CORE-AICTE-1-44641925723","AICTE Institution 1-44641925723","MISSING","MISSING","CORE-AICTE-1-44641925723","NONE","SAFE","None"
